step	rmse
0	56.21317440592465
1	50.69099412700978
2	45.72469273682265
3	41.25167098017793
4	37.2324755141746
5	33.61641087043736
6	30.36480837287943
7	27.444621576647027
8	24.82354587003704
9	22.473086549766457
10	20.36176793776987
11	18.464859910525167
12	16.77193041785124
13	15.25584039170376
14	13.898326754389114
15	12.689423803547683
16	11.611546566476589
17	10.655371554832575
18	9.805614580310223
19	9.057986671382928
20	8.396991670154296
21	7.816455150722506
22	7.31028482381953
23	6.869188991500195
24	6.485538537382341
25	6.153979996644782
26	5.870354906810293
27	5.626087931974246
28	5.416403336595462
29	5.2414140149119355
30	5.091284317410743
31	4.965535364292855
32	4.858223776742053
33	4.765778151792663
34	4.690900672894977
35	4.627510987580717
36	4.574016880439367
37	4.5287398611387815
38	4.490723366889395
39	4.459895482853247
40	4.433903147455564
41	4.410413045856256
42	4.393431203464679
43	4.377472462211727
44	4.36436715007069
45	4.3527978802098115
46	4.3417954433711055
47	4.333720769381672
48	4.3272610551039605
49	4.320222120454399
50	4.316234796641652
51	4.311286344126906
52	4.306911123871836
53	4.304063172998318
54	4.300827473082611
55	4.298328640354838
56	4.295873189906338
57	4.293964264984901
58	4.293068624700074
59	4.291395336381672
60	4.2901434384075925
61	4.288412601254938
62	4.287902616940211
63	4.286328367873558
64	4.286355433103402
65	4.284357276107273
66	4.2839605498236155
67	4.283473336793181
68	4.282756199111154
69	4.282752087552231
70	4.282546600452439
71	4.282228585122239
72	4.281665454603176
73	4.281363855499104
74	4.280853157092512
75	4.280930204854433
76	4.280649252139319
77	4.279434662091064
78	4.279433376845955
79	4.278750013190815
80	4.278475422440463
81	4.278470859960798
82	4.27838038637873
83	4.278075938975841
84	4.278323431484533
85	4.277943157470066
86	4.277984974207038
87	4.277502589029789
88	4.277428874338529
89	4.277142763130746
90	4.27688143631289
91	4.27666059533665
92	4.276684257270528
93	4.275158249296055
94	4.275305801789906
95	4.275096728185091
96	4.27499411456815
97	4.275015012248671
98	4.274789879547273
99	4.274536980859348
